Type,Description
`Class Warm-up <day5/00-group-meeting.html>`_,"Warm Up Quiz and Debugging"
`Group Assignment and Discussion <day5/group-assignment.html>`_,"NumPy and MC Calculations"
`Individual Assignment 2 <individual-assignments/individual-assignment-2.html>`_, Individual Assignment 2
