Type,Description
`Class Warm-up <day2/00-group-meeting.html>`_,"Get to Know your Group"
`Group Assignment <day2/group-assignment.html>`_,"Tasks: Monte Carlo Error,Lennard Jones,Distance Calculation"
`Individual Assignment 1 <individual-assignments/individual-assignment-1.html>`_,"Contains the link to start Individual Assignment 1."
